"","gdppc.gap.ln_l","AME","SE","model"
"1",5.99146454710798,0.00581042545441773,0.00169673784751968,"imp1.csv"
"2",6.19146454710798,0.00726981606233776,0.00174059431040485,"imp1.csv"
"3",6.39146454710798,0.0088626544879256,0.00171850009650267,"imp1.csv"
"4",6.59146454710798,0.0105195471737194,0.00165526747115027,"imp1.csv"
"5",6.79146454710798,0.0121467828491635,0.0016108782025706,"imp1.csv"
"6",6.99146454710798,0.0136315413873895,0.00167029340848282,"imp1.csv"
"7",7.19146454710798,0.0148507627723848,0.00188920185872371,"imp1.csv"
"8",7.39146454710798,0.015682661344796,0.00224803215478225,"imp1.csv"
"9",7.59146454710798,0.0160192707371016,0.00268218922827429,"imp1.csv"
"10",7.79146454710798,0.0157781877233562,0.00313037127407385,"imp1.csv"
"11",7.99146454710798,0.0149118867826702,0.00355321357186995,"imp1.csv"
"12",8.19146454710798,0.0134134990902725,0.00393386574186741,"imp1.csv"
"13",8.39146454710798,0.01131860602063,0.00427174669760363,"imp1.csv"
"14",8.59146454710798,0.00870320153410797,0.0045731290458722,"imp1.csv"
"15",8.79146454710798,0.0056784025662849,0.00483990421178173,"imp1.csv"
"16",8.99146454710798,0.00238268942924682,0.00506206983712009,"imp1.csv"
"17",9.19146454710798,-0.00102752672700301,0.00521552526179399,"imp1.csv"
"18",9.39146454710798,-0.00438830523414597,0.00526677343917944,"imp1.csv"
"19",9.59146454710798,-0.00753895264327981,0.00518211969097058,"imp1.csv"
"20",9.79146454710798,-0.0103326398734034,0.0049380918672703,"imp1.csv"
"21",9.99146454710798,-0.0126462987363114,0.00453236098039582,"imp1.csv"
"22",10.191464547108,-0.0143891403359104,0.00399295732087605,"imp1.csv"
"23",10.391464547108,-0.0155090275641267,0.00339026050775592,"imp1.csv"
"24",10.591464547108,-0.0159958950040549,0.00285054950094977,"imp1.csv"
"25",10.791464547108,-0.0158815300915584,0.00254675350105415,"imp1.csv"
"26",10.991464547108,-0.0152353659773527,0.00258893305181963,"imp1.csv"
"27",11.191464547108,-0.0141564799185261,0.00288893244949281,"imp1.csv"
"28",11.391464547108,-0.0127626467243177,0.00325536936809373,"imp1.csv"
"29",11.591464547108,-0.0111778962084272,0.00354378195373022,"imp1.csv"
"30",11.791464547108,-0.00952037266128356,0.00368201147348348,"imp1.csv"
"31",5.99146454710798,0.00551897250827508,0.00162584692134832,"imp10.csv"
"32",6.19146454710798,0.00696716496507209,0.00167768290466292,"imp10.csv"
"33",6.39146454710798,0.00856909856849195,0.00166217379902895,"imp10.csv"
"34",6.59146454710798,0.0102604590924446,0.0016007568446841,"imp10.csv"
"35",6.79146454710798,0.0119508208614996,0.00155202934512244,"imp10.csv"
"36",6.99146454710798,0.0135280001877813,0.00160526471550365,"imp10.csv"
"37",7.19146454710798,0.0148663998387144,0.00182430911590083,"imp10.csv"
"38",7.39146454710798,0.0158384725582,0.00219196497625792,"imp10.csv"
"39",7.59146454710798,0.0163277196179319,0.00263955599339203,"imp10.csv"
"40",7.79146454710798,0.0162413030612748,0.00310062712873103,"imp10.csv"
"41",7.99146454710798,0.0155204678981859,0.00353166792544443,"imp10.csv"
"42",8.19146454710798,0.0141474653068228,0.00391345498850222,"imp10.csv"
"43",8.39146454710798,0.0121483548965567,0.00424604113687533,"imp10.csv"
"44",8.59146454710798,0.00959173485155765,0.0045390421328261,"imp10.csv"
"45",8.79146454710798,0.00658394648153117,0.00480027015377639,"imp10.csv"
"46",8.99146454710798,0.00326155815212058,0.0050255725376512,"imp10.csv"
"47",9.19146454710798,-0.000218024865643492,0.00519483440970377,"imp10.csv"
"48",9.39146454710798,-0.00368707278323226,0.00527515694565608,"imp10.csv"
"49",9.59146454710798,-0.00697854585939816,0.00523036066420858,"imp10.csv"
"50",9.79146454710798,-0.00993707654107962,0.00503157388901966,"imp10.csv"
"51",9.99146454710798,-0.0124293784488625,0.00466956715389451,"imp10.csv"
"52",10.191464547108,-0.014353446860122,0.00416431163751588,"imp10.csv"
"53",10.391464547108,-0.0156457830393556,0.00357750472594975,"imp10.csv"
"54",10.591464547108,-0.0162857916437504,0.00302465789420513,"imp10.csv"
"55",10.791464547108,-0.0162965654181067,0.0026731337223609,"imp10.csv"
"56",10.991464547108,-0.0157415600093893,0.00265563660954035,"imp10.csv"
"57",11.191464547108,-0.0147171865775519,0.00292223489320994,"imp10.csv"
"58",11.391464547108,-0.0133420328119471,0.00328934607666576,"imp10.csv"
"59",11.591464547108,-0.0117440977349716,0.00359879667698258,"imp10.csv"
"60",11.791464547108,-0.0100478821469388,0.00376453454699037,"imp10.csv"
"61",5.99146454710798,0.00611019148470518,0.00177653527088637,"imp11.csv"
"62",6.19146454710798,0.00757355549845319,0.00179474479243543,"imp11.csv"
"63",6.39146454710798,0.00914780593021579,0.00174360651680765,"imp11.csv"
"64",6.59146454710798,0.0107589953615157,0.00165568433284528,"imp11.csv"
"65",6.79146454710798,0.0123110441068225,0.00160306540999235,"imp11.csv"
"66",6.99146454710798,0.0136917294743665,0.00167985605299749,"imp11.csv"
"67",7.19146454710798,0.0147819271148776,0.00193307157424831,"imp11.csv"
"68",7.39146454710798,0.0154669770378895,0.00232317460120751,"imp11.csv"
"69",7.59146454710798,0.0156485736355951,0.00277308628957679,"imp11.csv"
"70",7.79146454710798,0.0152554791167853,0.00321768173466257,"imp11.csv"
"71",7.99146454710798,0.0142516328282122,0.00361727247348757,"imp11.csv"
"72",8.19146454710798,0.0126407578719763,0.00395631241143402,"imp11.csv"
