"","var","coef","se","model"
"year2008","year2008",0.760614048116009,0.461846689599913,"imp1.csv"
"year2009","year2009",0.973485478877866,0.444714058519673,"imp1.csv"
"year2010","year2010",0.136201172726823,0.559724124435578,"imp1.csv"
"year2011","year2011",1.38876747217132,0.395937154263398,"imp1.csv"
"year2012","year2012",-0.272433552308666,0.609826218527012,"imp1.csv"
"year2013","year2013",1.01969474215956,0.435102097260346,"imp1.csv"
"year2014","year2014",0.414288866457819,0.513128190375213,"imp1.csv"
"year2015","year2015",0.711075430327148,0.416137947900168,"imp1.csv"
"year2016","year2016",0.0792879765183204,0.582696207632902,"imp1.csv"
"year2017","year2017",0.0385382116307455,0.547806683617485,"imp1.csv"
"year2018","year2018",0.241469283466376,0.550428899180434,"imp1.csv"
"year2019","year2019",0.862748893021003,0.433822444059787,"imp1.csv"
"(Intercept)1","(Intercept)",-25.1055073268671,4.47192064272841,"imp10.csv"
"gdppc.gap.ln_l1","gdppc.gap.ln_l",4.11108915163086,1.00805487919329,"imp10.csv"
"I(gdppc.gap.ln_l^2)1","I(gdppc.gap.ln_l^2)",-0.224806833830166,0.0564756827151099,"imp10.csv"
"growth.gap.5_l1","growth.gap.5_l",-0.128572081719136,1.21218311012324,"imp10.csv"
"pop_ln_l1","pop_ln_l",0.199129335421153,0.0455104932216031,"imp10.csv"
"polity2_l1","polity2_l",-0.0171630002307534,0.0117353313498805,"imp10.csv"
"I(polity2_l^2)1","I(polity2_l^2)",-0.00807828692494264,0.00285835291229205,"imp10.csv"
"Polity5_durable_ln_l1","Polity5_durable_ln_l",-0.145326921734667,0.0653499836279984,"imp10.csv"
"BESS_plus_WB_Urbanization_l1","BESS_plus_WB_Urbanization_l",0.00269658682894989,0.00527679261310943,"imp10.csv"
"VDEM_v2x_execorr_l1","VDEM_v2x_execorr_l",1.01558590393657,0.359075259849318,"imp10.csv"
"Mean_year_schooling_interpolated_l1","Mean_year_schooling_interpolated_l",0.0326317930640118,0.0382055310272962,"imp10.csv"
"oil.pc.ln_l1","oil.pc.ln_l",-0.043040205615643,0.016515519116637,"imp10.csv"
"sum.rev.q.nonviol1","sum.rev.q.nonviol",0.532469661165568,0.1710984153064,"imp10.csv"
"sum.rev.q.nonviol_l1","sum.rev.q.nonviol_l",0.212395327675006,0.160875328808271,"imp10.csv"
"cumsum.unarmed.rev.q1","cumsum.unarmed.rev.q",0.260116824372639,0.0511653996332202,"imp10.csv"
"year19511","year1951",-0.0144238857279744,0.0348207278210951,"imp10.csv"
"year19521","year1952",1.02801674600932,0.671047955569623,"imp10.csv"
"year19531","year1953",-0.0816613803604817,0.0474060664474654,"imp10.csv"
"year19541","year1954",-0.12276976345826,0.068890500565259,"imp10.csv"
"year19551","year1955",-0.154317621381707,0.0810277807421102,"imp10.csv"
"year19561","year1956",-0.215173273639168,0.0709499570352248,"imp10.csv"
"year19571","year1957",-0.178226656040131,0.0749016082080759,"imp10.csv"
"year19581","year1958",-0.180641973798825,0.0654564484535314,"imp10.csv"
"year19591","year1959",-0.184895514976306,0.0706762474436659,"imp10.csv"
"year19601","year1960",0.761288949362445,0.675840317348349,"imp10.csv"
"year19611","year1961",-0.331990507999083,0.0859622709479655,"imp10.csv"
"year19621","year1962",-0.405899115486306,0.093816407058376,"imp10.csv"
"year19631","year1963",0.652056058321115,0.68743460317058,"imp10.csv"
"year19641","year1964",0.536883585239771,0.668138618951137,"imp10.csv"
"year19651","year1965",-0.555888270941892,0.0954600630793545,"imp10.csv"
"year19661","year1966",-0.514119017451163,0.100151651283959,"imp10.csv"
"year19671","year1967",-0.550805063078062,0.0962772305370819,"imp10.csv"
"year19681","year1968",0.513426215466179,0.681713152016938,"imp10.csv"
"year19691","year1969",-0.632557159185449,0.099896912735137,"imp10.csv"
"year19701","year1970",-0.649229624020573,0.101624941734551,"imp10.csv"
"year19711","year1971",-0.673446710522175,0.101118991054761,"imp10.csv"
"year19721","year1972",-0.687539951719027,0.103629533026323,"imp10.csv"
"year19731","year1973",0.851574252698126,0.597394408388255,"imp10.csv"
"year19741","year1974",-0.742804984427187,0.118087096761274,"imp10.csv"
"year19751","year1975",-0.755375492259438,0.106481214005687,"imp10.csv"
"year19761","year1976",-0.698975277681299,0.100615083915538,"imp10.csv"
"year19771","year1977",-0.68186551942852,0.10413406091456,"imp10.csv"
"year19781","year1978",-0.734124760928108,0.110336401294125,"imp10.csv"
"year19791","year1979",-0.785475142741818,0.108876876791027,"imp10.csv"
"year19801","year1980",0.184200286551524,0.680557259772705,"imp10.csv"
"year19811","year1981",-0.878490919246434,0.114186086488246,"imp10.csv"
"year19821","year1982",0.0421097575471959,0.687387165370388,"imp10.csv"
"year19831","year1983",-0.920449360809118,0.125064050192548,"imp10.csv"
"year19841","year1984",-0.859136682365032,0.126814992348922,"imp10.csv"
"year19851","year1985",-0.880907623525915,0.130282543463621,"imp10.csv"
"year19861","year1986",0.158835285256392,0.675758175148484,"imp10.csv"
"year19871","year1987",0.563776153391525,0.583676103920703,"imp10.csv"
"year19881","year1988",0.0810659366271256,0.697781026982954,"imp10.csv"
"year19891","year1989",1.10399658919732,0.481241684359032,"imp10.csv"
"year19901","year1990",0.501507596517983,0.577549043589591,"imp10.csv"
"year19911","year1991",0.60087640591616,0.554194715149339,"imp10.csv"
"year19921","year1992",-0.200281658681546,0.662504134333125,"imp10.csv"
"year19931","year1993",-1.19564353464472,0.152188118423676,"imp10.csv"
"year19941","year1994",-1.19327355695568,0.159365094326322,"imp10.csv"
"year19951","year1995",-1.13782193953731,0.157079055729436,"imp10.csv"
"year19961","year1996",-1.18288849673682,0.167882043427825,"imp10.csv"
"year19971","year1997",-1.17841681094303,0.169808286605934,"imp10.csv"
"year19981","year1998",-0.101505196559571,0.692361658238199,"imp10.csv"
"year19991","year1999",-1.20190751467496,0.169088288447521,"imp10.csv"
"year20001","year2000",0.958086483165685,0.460818118896455,"imp10.csv"
"year20011","year2001",0.741673835390792,0.529815742311206,"imp10.csv"
"year20021","year2002",-0.24720474139657,0.711110236560324,"imp10.csv"
"year20031","year2003",0.531174610439749,0.546394367205609,"imp10.csv"
"year20041","year2004",0.968900918724891,0.442427966916477,"imp10.csv"
"year20051","year2005",0.722295761685908,0.459095328559312,"imp10.csv"
"year20061","year2006",1.07268205511155,0.458143448509535,"imp10.csv"
"year20071","year2007",0.934444843738012,0.461515743528865,"imp10.csv"
"year20081","year2008",0.920020973415346,0.455213968432197,"imp10.csv"
"year20091","year2009",1.15327310247136,0.441334153401722,"imp10.csv"
