"","var","coef","se","model"
"year2010","year2010",-0.0169607564627746,0.565625038706134,"imp1.csv"
"year2011","year2011",1.23087615016048,0.407468965098361,"imp1.csv"
"year2012","year2012",-0.42883729896417,0.622274232828769,"imp1.csv"
"year2013","year2013",0.890154670132975,0.444243279767548,"imp1.csv"
"year2014","year2014",0.264773152788684,0.523153696031543,"imp1.csv"
"year2015","year2015",0.549672885884668,0.422516309944821,"imp1.csv"
"year2016","year2016",-0.0750564777383494,0.593189553688377,"imp1.csv"
"year2017","year2017",-0.113835786634305,0.560496553867071,"imp1.csv"
"year2018","year2018",0.0961025509994867,0.554253193991969,"imp1.csv"
"year2019","year2019",0.715547540822082,0.434198292787082,"imp1.csv"
"(Intercept)1","(Intercept)",-8.16054823150083,1.24031661071974,"imp10.csv"
"gdppc.gap.ln_l1","gdppc.gap.ln_l",0.17141007491601,0.152174232708836,"imp10.csv"
"growth.gap.5_l1","growth.gap.5_l",0.792003439401231,1.17371164347601,"imp10.csv"
"pop_ln_l1","pop_ln_l",0.194669155434397,0.0461065317485274,"imp10.csv"
"polity2_l1","polity2_l",-0.010894300914706,0.0121251099793309,"imp10.csv"
"I(polity2_l^2)1","I(polity2_l^2)",-0.00901409924818723,0.00287881705003847,"imp10.csv"
"Polity5_durable_ln_l1","Polity5_durable_ln_l",-0.150593121918003,0.0667149478209726,"imp10.csv"
"BESS_plus_WB_Urbanization_l1","BESS_plus_WB_Urbanization_l",0.0014824671151397,0.00533319409337523,"imp10.csv"
"VDEM_v2x_execorr_l1","VDEM_v2x_execorr_l",1.26522738733772,0.374414135565753,"imp10.csv"
"Mean_year_schooling_interpolated_l1","Mean_year_schooling_interpolated_l",0.0445159940109197,0.0392031259092617,"imp10.csv"
"oil.pc.ln_l1","oil.pc.ln_l",-0.0366421803361589,0.016468093669048,"imp10.csv"
"sum.rev.q.nonviol1","sum.rev.q.nonviol",0.555741242886245,0.169962615799026,"imp10.csv"
"sum.rev.q.nonviol_l1","sum.rev.q.nonviol_l",0.233835676705699,0.162007985896448,"imp10.csv"
"cumsum.unarmed.rev.q1","cumsum.unarmed.rev.q",0.29772487798679,0.0523386461953266,"imp10.csv"
"year19511","year1951",-0.023206428249578,0.036644684899403,"imp10.csv"
"year19521","year1952",1.05155004327573,0.676112252978882,"imp10.csv"
"year19531","year1953",-0.0700810839017059,0.0497316591587521,"imp10.csv"
"year19541","year1954",-0.122381231460477,0.092662390970916,"imp10.csv"
"year19551","year1955",-0.141835987594519,0.104449881716838,"imp10.csv"
"year19561","year1956",-0.212858540900336,0.0821408406777013,"imp10.csv"
"year19571","year1957",-0.164736894076085,0.0886323128411477,"imp10.csv"
"year19581","year1958",-0.175484074809948,0.0760844334342402,"imp10.csv"
"year19591","year1959",-0.168462580161497,0.0800034455321122,"imp10.csv"
"year19601","year1960",0.733491030133191,0.685616813470086,"imp10.csv"
"year19611","year1961",-0.348218492556645,0.103082013310401,"imp10.csv"
"year19621","year1962",-0.421637086822699,0.111210396673432,"imp10.csv"
"year19631","year1963",0.64498189704029,0.695047337225564,"imp10.csv"
"year19641","year1964",0.525092516165142,0.671811985308364,"imp10.csv"
"year19651","year1965",-0.559676801775098,0.106778809606482,"imp10.csv"
"year19661","year1966",-0.518517803247051,0.115207824448076,"imp10.csv"
"year19671","year1967",-0.561573954705012,0.108396812518549,"imp10.csv"
"year19681","year1968",0.501602580996965,0.68209359628822,"imp10.csv"
"year19691","year1969",-0.636929425146372,0.112525219335218,"imp10.csv"
"year19701","year1970",-0.65007040259603,0.113812495430098,"imp10.csv"
"year19711","year1971",-0.700342920076934,0.111819315171919,"imp10.csv"
"year19721","year1972",-0.702214783311583,0.114393865226247,"imp10.csv"
"year19731","year1973",0.820554735941438,0.607789732394799,"imp10.csv"
"year19741","year1974",-0.77478953676676,0.131113371176594,"imp10.csv"
"year19751","year1975",-0.773383849503904,0.114276804150679,"imp10.csv"
"year19761","year1976",-0.69983034422285,0.104743229486497,"imp10.csv"
"year19771","year1977",-0.676163838861872,0.109130785920672,"imp10.csv"
"year19781","year1978",-0.73436029438476,0.113470162828731,"imp10.csv"
"year19791","year1979",-0.778970082079097,0.112176631041725,"imp10.csv"
"year19801","year1980",0.193142476615105,0.678448408675387,"imp10.csv"
"year19811","year1981",-0.868332542749598,0.117458366330558,"imp10.csv"
"year19821","year1982",0.0715912529292462,0.684825068932083,"imp10.csv"
"year19831","year1983",-0.895423087418728,0.125086637573843,"imp10.csv"
"year19841","year1984",-0.837866220910953,0.128585991795549,"imp10.csv"
"year19851","year1985",-0.851795270047354,0.130678728825791,"imp10.csv"
"year19861","year1986",0.165183190115328,0.682359990935853,"imp10.csv"
"year19871","year1987",0.593495631529977,0.592051991756238,"imp10.csv"
"year19881","year1988",0.0838607430221536,0.697930384032149,"imp10.csv"
"year19891","year1989",1.07016167031801,0.488724392154384,"imp10.csv"
"year19901","year1990",0.469461384049781,0.578133238967402,"imp10.csv"
"year19911","year1991",0.566463593463325,0.554805053713813,"imp10.csv"
"year19921","year1992",-0.261076032168968,0.677024984255519,"imp10.csv"
"year19931","year1993",-1.24400854678225,0.156899342752712,"imp10.csv"
"year19941","year1994",-1.2568010151604,0.165738583890014,"imp10.csv"
"year19951","year1995",-1.21385135942954,0.165825966556015,"imp10.csv"
"year19961","year1996",-1.25309596800146,0.174212904985789,"imp10.csv"
"year19971","year1997",-1.24060532694452,0.174775078692906,"imp10.csv"
"year19981","year1998",-0.182040698652633,0.705165887136026,"imp10.csv"
"year19991","year1999",-1.29646249013218,0.175193915354212,"imp10.csv"
"year20001","year2000",0.846820712231525,0.465285307738373,"imp10.csv"
"year20011","year2001",0.613480946101657,0.536479994308174,"imp10.csv"
"year20021","year2002",-0.352008347820862,0.72407604804584,"imp10.csv"
"year20031","year2003",0.441326607359675,0.540767164464253,"imp10.csv"
"year20041","year2004",0.876216133252731,0.442778746499069,"imp10.csv"
"year20051","year2005",0.592501527451729,0.468856323907547,"imp10.csv"
"year20061","year2006",0.942138294555246,0.467833722346912,"imp10.csv"
"year20071","year2007",0.782468838073499,0.472686670749987,"imp10.csv"
"year20081","year2008",0.772463675227631,0.472764269998507,"imp10.csv"
"year20091","year2009",0.997381271624951,0.448299055953982,"imp10.csv"
"year20101","year2010",0.161543784271363,0.560330464621994,"imp10.csv"
"year20111","year2011",1.40822534894315,0.406617482618212,"imp10.csv"
"year20121","year2012",-0.246394726674527,0.622814950691095,"imp10.csv"
"year20131","year2013",1.08740633551538,0.435163217321014,"imp10.csv"
"year20141","year2014",0.464069932932696,0.524570834697294,"imp10.csv"
"year20151","year2015",0.712829716046795,0.431278981858021,"imp10.csv"
"year20161","year2016",0.129979425233917,0.610724020432416,"imp10.csv"
"year20171","year2017",0.105166156767957,0.56338911821723,"imp10.csv"
"year20181","year2018",0.289064496932137,0.551885327989023,"imp10.csv"
"year20191","year2019",0.931031076045845,0.44122414402711,"imp10.csv"
"(Intercept)2","(Intercept)",-8.05841044036126,1.21822441040738,"imp11.csv"
"gdppc.gap.ln_l2","gdppc.gap.ln_l",0.151432108874976,0.155149902882332,"imp11.csv"
"growth.gap.5_l2","growth.gap.5_l",0.586138100801907,1.1770174646481,"imp11.csv"
"pop_ln_l2","pop_ln_l",0.19373635470067,0.0438047870718339,"imp11.csv"
"polity2_l2","polity2_l",-0.0152046967637154,0.0124598345995997,"imp11.csv"
"I(polity2_l^2)2","I(polity2_l^2)",-0.00764975806571863,0.00304392305095259,"imp11.csv"
"Polity5_durable_ln_l2","Polity5_durable_ln_l",-0.165748026707371,0.0713179497482968,"imp11.csv"
"BESS_plus_WB_Urbanization_l2","BESS_plus_WB_Urbanization_l",0.00136343864038789,0.00545108891565851,"imp11.csv"
"VDEM_v2x_execorr_l2","VDEM_v2x_execorr_l",1.28912273229973,0.377788433946297,"imp11.csv"
"Mean_year_schooling_interpolated_l2","Mean_year_schooling_interpolated_l",0.0578142369159801,0.0394760319967547,"imp11.csv"
"oil.pc.ln_l2","oil.pc.ln_l",-0.0395364095274323,0.0150399340579922,"imp11.csv"
"sum.rev.q.nonviol2","sum.rev.q.nonviol",0.556270908196944,0.171339217248467,"imp11.csv"
"sum.rev.q.nonviol_l2","sum.rev.q.nonviol_l",0.223733581129105,0.163397716328026,"imp11.csv"
"cumsum.unarmed.rev.q2","cumsum.unarmed.rev.q",0.294384584423168,0.0522060028337151,"imp11.csv"
"year19512","year1951",0.000740973950258416,0.0392239187144664,"imp11.csv"
"year19522","year1952",1.05210547442505,0.676958202203933,"imp11.csv"
"year19532","year1953",-0.0811055781847912,0.0544173051612714,"imp11.csv"
"year19542","year1954",-0.0960228275394503,0.074587362015791,"imp11.csv"
"year19552","year1955",-0.104049779912385,0.101783941854221,"imp11.csv"
"year19562","year1956",-0.18808604853345,0.0793830291356186,"imp11.csv"
"year19572","year1957",-0.171081072711321,0.085691613429613,"imp11.csv"
"year19582","year1958",-0.144812166928268,0.088540966333822,"imp11.csv"
"year19592","year1959",-0.167058390792294,0.0929683790829724,"imp11.csv"
"year19602","year1960",0.734771996985378,0.690357911858157,"imp11.csv"
"year19612","year1961",-0.365028265570995,0.102955850906464,"imp11.csv"
"year19622","year1962",-0.450997200573811,0.104336646554101,"imp11.csv"
"year19632","year1963",0.597447188765853,0.689605642638027,"imp11.csv"
"year19642","year1964",0.577149714690634,0.664333362227982,"imp11.csv"
"year19652","year1965",-0.548185578854801,0.115056957214802,"imp11.csv"
"year19662","year1966",-0.517993228721865,0.112591457965206,"imp11.csv"
"year19672","year1967",-0.584562491118668,0.124802277508059,"imp11.csv"
"year19682","year1968",0.517592130856278,0.681915640660139,"imp11.csv"
"year19692","year1969",-0.622463712528598,0.118158355931217,"imp11.csv"
"year19702","year1970",-0.653215053345936,0.118990798479649,"imp11.csv"
"year19712","year1971",-0.697004401784633,0.114690598297514,"imp11.csv"
"year19722","year1972",-0.714101169083428,0.120443519451564,"imp11.csv"
"year19732","year1973",0.785129713942364,0.605676220283479,"imp11.csv"
"year19742","year1974",-0.753076121296977,0.126369980582986,"imp11.csv"
"year19752","year1975",-0.831880955536521,0.12554262040695,"imp11.csv"
"year19762","year1976",-0.763891759099411,0.110328429156979,"imp11.csv"
"year19772","year1977",-0.743783652355245,0.11594358948626,"imp11.csv"
"year19782","year1978",-0.750293006728403,0.110792232894733,"imp11.csv"
"year19792","year1979",-0.810509571039891,0.116266644152109,"imp11.csv"
"year19802","year1980",0.190896037232537,0.678344627431637,"imp11.csv"
"year19812","year1981",-0.893623241845902,0.12774632082667,"imp11.csv"
"year19822","year1982",0.0590933565321673,0.683845841508048,"imp11.csv"
"year19832","year1983",-0.946909323982935,0.133730016580426,"imp11.csv"
"year19842","year1984",-0.909072319595182,0.139284946287494,"imp11.csv"
"year19852","year1985",-0.883195597426408,0.135804966486849,"imp11.csv"
"year19862","year1986",0.183744874421123,0.68178370337834,"imp11.csv"
"year19872","year1987",0.577962740237087,0.593718109782959,"imp11.csv"
"year19882","year1988",0.0609309240313288,0.707037391058565,"imp11.csv"
"year19892","year1989",1.03111419189407,0.498643928973976,"imp11.csv"
"year19902","year1990",0.465716212319015,0.58478056222126,"imp11.csv"
"year19912","year1991",0.541949574812542,0.55916426200048,"imp11.csv"
"year19922","year1992",-0.300492154816328,0.680439138245252,"imp11.csv"
"year19932","year1993",-1.29167824994733,0.163379591325711,"imp11.csv"
"year19942","year1994",-1.2616343567424,0.167993089129849,"imp11.csv"
"year19952","year1995",-1.20949243923306,0.16718165527612,"imp11.csv"
"year19962","year1996",-1.2501191012328,0.175611407505859,"imp11.csv"
"year19972","year1997",-1.25292590365565,0.177759684896653,"imp11.csv"
"year19982","year1998",-0.201525671546601,0.701175088904123,"imp11.csv"
"year19992","year1999",-1.30594699909705,0.181127003793391,"imp11.csv"
"year20002","year2000",0.790928649330755,0.472475083951174,"imp11.csv"
"year20012","year2001",0.61177789758315,0.539861000716645,"imp11.csv"
"year20022","year2002",-0.372751880474271,0.728033999191148,"imp11.csv"
"year20032","year2003",0.450660595036705,0.545803206045906,"imp11.csv"
"year20042","year2004",0.844146283502042,0.44732645506336,"imp11.csv"
"year20052","year2005",0.588664040479498,0.462688327312346,"imp11.csv"
"year20062","year2006",0.928017984534347,0.464554663468854,"imp11.csv"
"year20072","year2007",0.770245963271869,0.478505284514078,"imp11.csv"
"year20082","year2008",0.767238352104046,0.482113229431364,"imp11.csv"
"year20092","year2009",0.987870304523179,0.448118190746337,"imp11.csv"
"year20102","year2010",0.147727885553111,0.564446998428286,"imp11.csv"
"year20112","year2011",1.39422703398993,0.414960276398779,"imp11.csv"
"year20122","year2012",-0.26194770502915,0.626246340230443,"imp11.csv"
"year20132","year2013",1.08011244024935,0.44253190491432,"imp11.csv"
"year20142","year2014",0.451231410902273,0.523341153818151,"imp11.csv"
"year20152","year2015",0.713370386727935,0.424972170524138,"imp11.csv"
"year20162","year2016",0.11540971688925,0.620403488680213,"imp11.csv"
"year20172","year2017",0.0905214946152419,0.566747880433351,"imp11.csv"
"year20182","year2018",0.271712318479454,0.55315577479554,"imp11.csv"
"year20192","year2019",0.906421858082875,0.441610684467706,"imp11.csv"
"(Intercept)3","(Intercept)",-7.17551341778051,1.23111749198033,"imp12.csv"
"gdppc.gap.ln_l3","gdppc.gap.ln_l",0.0736492703912028,0.155350795803587,"imp12.csv"
"growth.gap.5_l3","growth.gap.5_l",1.09224504632004,1.12739172197425,"imp12.csv"
"pop_ln_l3","pop_ln_l",0.157443954540107,0.0457092369767971,"imp12.csv"
"polity2_l3","polity2_l",-0.0114532840748484,0.0120235164826422,"imp12.csv"
"I(polity2_l^2)3","I(polity2_l^2)",-0.00424793087694921,0.00279644095667222,"imp12.csv"
"Polity5_durable_ln_l3","Polity5_durable_ln_l",-0.210145272755784,0.0692869712425832,"imp12.csv"
"BESS_plus_WB_Urbanization_l3","BESS_plus_WB_Urbanization_l",0.00254072052351992,0.00544381784917951,"imp12.csv"
"VDEM_v2x_execorr_l3","VDEM_v2x_execorr_l",1.13926879184924,0.378442752731896,"imp12.csv"
"Mean_year_schooling_interpolated_l3","Mean_year_schooling_interpolated_l",0.0447352170935849,0.0388906074378217,"imp12.csv"
"oil.pc.ln_l3","oil.pc.ln_l",-0.0217649170057341,0.0158840395982451,"imp12.csv"
"sum.rev.q.nonviol3","sum.rev.q.nonviol",0.562670255776262,0.168329271792168,"imp12.csv"
"sum.rev.q.nonviol_l3","sum.rev.q.nonviol_l",0.219835682294391,0.160878176109455,"imp12.csv"
"cumsum.unarmed.rev.q3","cumsum.unarmed.rev.q",0.303340010438273,0.0507581494104161,"imp12.csv"
"year19513","year1951",-0.000767119187329024,0.0376677332145961,"imp12.csv"
"year19523","year1952",1.07173714773018,0.671097478344027,"imp12.csv"
"year19533","year1953",-0.0423449649281314,0.0550821613987754,"imp12.csv"
"year19543","year1954",-0.12422627186366,0.0943397611104041,"imp12.csv"
"year19553","year1955",-0.0951500942811075,0.0890680752533045,"imp12.csv"
"year19563","year1956",-0.172093334306175,0.0812623695617275,"imp12.csv"
"year19573","year1957",-0.136414391115182,0.0899118209915196,"imp12.csv"
"year19583","year1958",-0.122590484699068,0.0971196978724325,"imp12.csv"
"year19593","year1959",-0.130499065284956,0.0889294063934676,"imp12.csv"
"year19603","year1960",0.782256911350819,0.697994061725417,"imp12.csv"
"year19613","year1961",-0.344780541129412,0.102772464099204,"imp12.csv"
"year19623","year1962",-0.42547308319545,0.106780055293764,"imp12.csv"
"year19633","year1963",0.631869329650272,0.687001259262996,"imp12.csv"
"year19643","year1964",0.605962176185896,0.665337637700289,"imp12.csv"
"year19653","year1965",-0.537907191552099,0.117341836568517,"imp12.csv"
"year19663","year1966",-0.496065286672402,0.107771687156478,"imp12.csv"
"year19673","year1967",-0.540549349999508,0.115703285418033,"imp12.csv"
"year19683","year1968",0.51163668433708,0.681314380035761,"imp12.csv"
"year19693","year1969",-0.578158865983999,0.115272699668505,"imp12.csv"
"year19703","year1970",-0.598124091978866,0.116722879240203,"imp12.csv"
"year19713","year1971",-0.686713399566296,0.120528166270451,"imp12.csv"
"year19723","year1972",-0.659824341115592,0.118957273170133,"imp12.csv"
"year19733","year1973",0.847693655650842,0.604069010236822,"imp12.csv"
"year19743","year1974",-0.715567986015609,0.123572226555158,"imp12.csv"
"year19753","year1975",-0.734075277478366,0.117361055384342,"imp12.csv"
"year19763","year1976",-0.676551470350362,0.109877629554024,"imp12.csv"
"year19773","year1977",-0.654500352492593,0.110624632273217,"imp12.csv"
"year19783","year1978",-0.70393457330621,0.112220606339502,"imp12.csv"
"year19793","year1979",-0.763140565838158,0.116894605119528,"imp12.csv"
"year19803","year1980",0.277212883283288,0.678589238348787,"imp12.csv"
"year19813","year1981",-0.785810596419176,0.121866647511256,"imp12.csv"
"year19823","year1982",0.154542876361908,0.678733745266792,"imp12.csv"
"year19833","year1983",-0.832143927411893,0.133672540823069,"imp12.csv"
"year19843","year1984",-0.776190759278131,0.13625548390318,"imp12.csv"
"year19853","year1985",-0.770159905642315,0.136697944619004,"imp12.csv"
"year19863","year1986",0.256355236189764,0.677829063320899,"imp12.csv"
"year19873","year1987",0.668391046854338,0.611660100766809,"imp12.csv"
"year19883","year1988",0.181974331599887,0.703310612983804,"imp12.csv"
"year19893","year1989",1.12912642531032,0.494519078021971,"imp12.csv"
"year19903","year1990",0.571176416718602,0.585637194880295,"imp12.csv"
"year19913","year1991",0.617057219512616,0.555354711492179,"imp12.csv"
"year19923","year1992",-0.172039192571441,0.668908801963821,"imp12.csv"
"year19933","year1993",-1.17190898652745,0.164229673647928,"imp12.csv"
"year19943","year1994",-1.1530489191387,0.169357420987176,"imp12.csv"
"year19953","year1995",-1.12733891184148,0.171097877992705,"imp12.csv"
"year19963","year1996",-1.1310907690832,0.177815590766582,"imp12.csv"
"year19973","year1997",-1.14679866093528,0.180223153530705,"imp12.csv"
"year19983","year1998",-0.0975804520504713,0.703662667209458,"imp12.csv"
"year19993","year1999",-1.19403022469725,0.183069681706942,"imp12.csv"
"year20003","year2000",0.913410173267478,0.470837472068547,"imp12.csv"
"year20013","year2001",0.736708120676436,0.535342866970957,"imp12.csv"
"year20023","year2002",-0.243461791673183,0.732281901329184,"imp12.csv"
"year20033","year2003",0.539718321496258,0.549893164784297,"imp12.csv"
"year20043","year2004",0.99663661857409,0.434276430062567,"imp12.csv"
"year20053","year2005",0.68747056609623,0.470376986940816,"imp12.csv"
"year20063","year2006",1.04241870761692,0.472718844872256,"imp12.csv"
"year20073","year2007",0.889390061022323,0.476382373574571,"imp12.csv"
"year20083","year2008",0.903118539138676,0.474880965179579,"imp12.csv"
"year20093","year2009",1.12857387573761,0.445826989204182,"imp12.csv"
"year20103","year2010",0.299625735769232,0.556684416109686,"imp12.csv"
"year20113","year2011",1.52775441508358,0.408351237464766,"imp12.csv"
"year20123","year2012",-0.10422502423401,0.625116783636406,"imp12.csv"
"year20133","year2013",1.22284429277518,0.43570751662289,"imp12.csv"
"year20143","year2014",0.6171087342934,0.518328951273611,"imp12.csv"
