"","var","coef","se","model"
"year2009","year2009",0.917228410109775,0.44596995140339,"imp1.csv"
"year2010","year2010",0.4348072753119,0.484273984062787,"imp1.csv"
"year2011","year2011",1.07931026388003,0.385798953478275,"imp1.csv"
"year2012","year2012",0.646504482079172,0.453338999563389,"imp1.csv"
"year2013","year2013",0.674912296370681,0.417086970908593,"imp1.csv"
"year2014","year2014",0.939746276771865,0.438368001765346,"imp1.csv"
"year2015","year2015",0.987406802055498,0.392313265616872,"imp1.csv"
"year2016","year2016",0.283817591357831,0.49962847101452,"imp1.csv"
"year2017","year2017",1.05905865059299,0.4099036068512,"imp1.csv"
"year2018","year2018",0.160196157330637,0.50034008709253,"imp1.csv"
"year2019","year2019",1.13282720414884,0.369016351424787,"imp1.csv"
"(Intercept)1","(Intercept)",-27.4567126201694,4.25495099690581,"imp10.csv"
"gdppc.gap.ln_l1","gdppc.gap.ln_l",4.54122538285658,0.964693785383903,"imp10.csv"
"I(gdppc.gap.ln_l^2)1","I(gdppc.gap.ln_l^2)",-0.247369947178668,0.0551625295115112,"imp10.csv"
"growth.gap.5_l1","growth.gap.5_l",-0.698645916828824,1.47298098219275,"imp10.csv"
"pop_ln_l1","pop_ln_l",0.279409173012312,0.0420101329742803,"imp10.csv"
"polity2_l1","polity2_l",-0.0167021879599436,0.0126552944816785,"imp10.csv"
"I(polity2_l^2)1","I(polity2_l^2)",-0.0116843920680915,0.00220372254205454,"imp10.csv"
"Polity5_durable_ln_l1","Polity5_durable_ln_l",-0.0920196048561699,0.0529235454030318,"imp10.csv"
"BESS_plus_WB_Urbanization_l1","BESS_plus_WB_Urbanization_l",-0.00529036960924614,0.00487953632380484,"imp10.csv"
"VDEM_v2x_execorr_l1","VDEM_v2x_execorr_l",0.59775607853297,0.271324052696663,"imp10.csv"
"Mean_year_schooling_interpolated_l1","Mean_year_schooling_interpolated_l",0.0677816207823129,0.0312037286375948,"imp10.csv"
"oil.pc.ln_l1","oil.pc.ln_l",-0.0250669546743477,0.0156271400381065,"imp10.csv"
"sum.nvc.nonviol1","sum.nvc.nonviol",0.335736555430388,0.139021772710818,"imp10.csv"
"sum.nvc.nonviol_l1","sum.nvc.nonviol_l",0.685657942573315,0.14237463809658,"imp10.csv"
"cumsum.nvc.nonviol1","cumsum.nvc.nonviol",0.145869393760442,0.0451567219842047,"imp10.csv"
"year19511","year1951",1.05366353407892,0.692087020036703,"imp10.csv"
"year19521","year1952",0.980223685328541,0.691881391792915,"imp10.csv"
"year19531","year1953",-0.0778233329505097,0.0449719120547223,"imp10.csv"
"year19541","year1954",-0.13667734879819,0.0692568969673023,"imp10.csv"
"year19551","year1955",-0.155181180318947,0.0713548157120337,"imp10.csv"
"year19561","year1956",2.05589809583134,0.417842406181261,"imp10.csv"
"year19571","year1957",0.4454153756814,0.708103729468177,"imp10.csv"
"year19581","year1958",0.51118522954235,0.70794017357424,"imp10.csv"
"year19591","year1959",-0.449090812294358,0.0974835521388035,"imp10.csv"
"year19601","year1960",1.76729059789058,0.481233498020622,"imp10.csv"
"year19611","year1961",0.366470589910021,0.696136540714763,"imp10.csv"
"year19621","year1962",0.330485567421371,0.689666977498174,"imp10.csv"
"year19631","year1963",0.347255907871305,0.686341004179826,"imp10.csv"
"year19641","year1964",0.810626960730534,0.590533440279586,"imp10.csv"
"year19651","year1965",0.706189626341836,0.596518222310472,"imp10.csv"
"year19661","year1966",-0.766590560045439,0.122938280592538,"imp10.csv"
"year19671","year1967",-0.550070094893756,0.0968329732849887,"imp10.csv"
"year19681","year1968",1.00297729418599,0.605793427402837,"imp10.csv"
"year19691","year1969",-0.727689029795926,0.106643841265979,"imp10.csv"
"year19701","year1970",0.926441041658029,0.603880374385514,"imp10.csv"
"year19711","year1971",-0.808886483959499,0.114083489677487,"imp10.csv"
"year19721","year1972",0.307381424422583,0.683914308221838,"imp10.csv"
"year19731","year1973",1.05143792856481,0.535264161920393,"imp10.csv"
"year19741","year1974",-0.84932257724806,0.142420278005238,"imp10.csv"
"year19751","year1975",0.301075394872015,0.712895799418562,"imp10.csv"
"year19761","year1976",0.834339886181853,0.594640961792922,"imp10.csv"
"year19771","year1977",1.73012970428933,0.447112770544265,"imp10.csv"
"year19781","year1978",-0.103251278559038,0.686648828956872,"imp10.csv"
"year19791","year1979",0.916097111764617,0.54932148060956,"imp10.csv"
"year19801","year1980",0.625295849083356,0.575983326110098,"imp10.csv"
"year19811","year1981",0.0700945637349763,0.695092559973885,"imp10.csv"
"year19821","year1982",0.555589155933219,0.568568294554117,"imp10.csv"
"year19831","year1983",1.01781281730877,0.517615058938817,"imp10.csv"
"year19841","year1984",0.566136275810586,0.545231617789274,"imp10.csv"
"year19851","year1985",0.561476636984481,0.520757955651027,"imp10.csv"
"year19861","year1986",0.707371064945799,0.546480559072517,"imp10.csv"
"year19871","year1987",1.53873761515279,0.41028853661005,"imp10.csv"
"year19881","year1988",-0.26559465947633,0.679789892411017,"imp10.csv"
"year19891","year1989",1.61547058747429,0.407737220949106,"imp10.csv"
"year19901","year1990",1.71632192461949,0.359750190927794,"imp10.csv"
"year19911","year1991",0.657112728126283,0.438225312083416,"imp10.csv"
"year19921","year1992",0.726472507231036,0.476891953692657,"imp10.csv"
"year19931","year1993",-0.137422002745057,0.606722587571036,"imp10.csv"
