"","gdppc.gap.ln_l","AME","SE","model"
"1",5.99146454710798,0.00440588703296528,0.0011704819500212,"imp1.csv"
"2",6.19146454710798,0.00466387705818201,0.00110751880206681,"imp1.csv"
"3",6.39146454710798,0.00485402444506698,0.0011892640897267,"imp1.csv"
"4",6.59146454710798,0.00496228968240201,0.00140680029190913,"imp1.csv"
"5",6.79146454710798,0.00497667871835749,0.0017044945324375,"imp1.csv"
"6",6.99146454710798,0.0048880134384106,0.00202881148862162,"imp1.csv"
"7",7.19146454710798,0.00469057225327079,0.00234227805983288,"imp1.csv"
"8",7.39146454710798,0.004382557031469,0.0026205503979694,"imp1.csv"
"9",7.59146454710798,0.00396635701988306,0.00284847394522832,"imp1.csv"
"10",7.79146454710798,0.00344859566200271,0.00301833217082932,"imp1.csv"
"11",7.99146454710798,0.00283996072598874,0.00312870588918349,"imp1.csv"
"12",8.19146454710798,0.00215483077582269,0.00318317814478297,"imp1.csv"
"13",8.39146454710798,0.001410721180539,0.00318933693130613,"imp1.csv"
"14",8.59146454710798,0.000627580453429283,0.00315691137578523,"imp1.csv"
"15",8.79146454710798,-0.000173027023359519,0.00309597788410845,"imp1.csv"
"16",8.99146454710798,-0.000968812488920247,0.00301506151639909,"imp1.csv"
"17",9.19146454710798,-0.00173768723658287,0.00291956431266718,"imp1.csv"
"18",9.39146454710798,-0.00245867796925911,0.00281113922426234,"imp1.csv"
"19",9.59146454710798,-0.00311279125743747,0.00268811359003764,"imp1.csv"
"20",9.79146454710798,-0.00368378648103068,0.00254694626894704,"imp1.csv"
"21",9.99146454710798,-0.00415881909174555,0.00238436266100531,"imp1.csv"
"22",10.191464547108,-0.00452892014942214,0.0021995130623195,"imp1.csv"
"23",10.391464547108,-0.00478928431159095,0.00199603452141436,"imp1.csv"
"24",10.591464547108,-0.00493934714698134,0.00178353789428275,"imp1.csv"
"25",10.791464547108,-0.00498264390424472,0.00157883921360098,"imp1.csv"
"26",10.991464547108,-0.00492645540158294,0.00140558862128783,"imp1.csv"
"27",11.191464547108,-0.00478126170384911,0.0012900491259109,"imp1.csv"
"28",11.391464547108,-0.00456003937372476,0.00124954324192003,"imp1.csv"
"29",11.591464547108,-0.0042774515298265,0.00127965334093095,"imp1.csv"
"30",11.791464547108,-0.00394898971980508,0.00135512392277932,"imp1.csv"
"31",5.99146454710798,0.00438395303737068,0.00115662518942112,"imp10.csv"
"32",6.19146454710798,0.00468659729116891,0.00104204526360343,"imp10.csv"
"33",6.39146454710798,0.00492385958885201,0.00106119824998114,"imp10.csv"
"34",6.59146454710798,0.00507942188329556,0.00123682408936874,"imp10.csv"
"35",6.79146454710798,0.00513884485817302,0.00151930495570891,"imp10.csv"
"36",6.99146454710798,0.00509051176090624,0.00184580345270364,"imp10.csv"
"37",7.19146454710798,0.00492644538897083,0.00217101511392794,"imp10.csv"
"38",7.39146454710798,0.0046429382668223,0.00246535388966953,"imp10.csv"
"39",7.59146454710798,0.00424095288027463,0.00271019461944644,"imp10.csv"
"40",7.79146454710798,0.0037262676993821,0.00289507082053201,"imp10.csv"
"41",7.99146454710798,0.00310936331016604,0.0030164365674604,"imp10.csv"
"42",8.19146454710798,0.00240505960175607,0.00307669938648264,"imp10.csv"
"43",8.39146454710798,0.00163192865007475,0.00308292271037085,"imp10.csv"
"44",8.59146454710798,0.000811518391485203,0.0030453392401632,"imp10.csv"
"45",8.79146454710798,-3.2570425835582e-05,0.0029754693999302,"imp10.csv"
"46",8.99146454710798,-0.000875706715837449,0.00288392027828871,"imp10.csv"
"47",9.19146454710798,-0.00169330087011749,0.00277856553846799,"imp10.csv"
"48",9.39146454710798,-0.00246187459437145,0.00266330046142269,"imp10.csv"
"49",9.59146454710798,-0.003160077492521,0.00253806876218708,"imp10.csv"
"50",9.79146454710798,-0.00376960046931663,0.00240009248966529,"imp10.csv"
"51",9.99146454710798,-0.00427593894507521,0.0022460236814343,"imp10.csv"
"52",10.191464547108,-0.00466896386461732,0.00207455826037607,"imp10.csv"
"53",10.391464547108,-0.00494326609705921,0.00188854665622968,"imp10.csv"
"54",10.591464547108,-0.00509825052337576,0.00169699183584329,"imp10.csv"
"55",10.791464547108,-0.00513797004724956,0.00151567313444421,"imp10.csv"
"56",10.991464547108,-0.0050707065848212,0.0013666313419626,"imp10.csv"
"57",11.191464547108,-0.0049083247688591,0.00127248904134105,"imp10.csv"
"58",11.391464547108,-0.00466544289842521,0.00124568654285666,"imp10.csv"
"59",11.591464547108,-0.00435848223126924,0.00127863647971543,"imp10.csv"
"60",11.791464547108,-0.00400466743039622,0.00134719219024546,"imp10.csv"
"61",5.99146454710798,0.00457960331336754,0.00113082989924445,"imp11.csv"
"62",6.19146454710798,0.00481785982512791,0.00108740448223556,"imp11.csv"
"63",6.39146454710798,0.0049799501649987,0.00120752574405447,"imp11.csv"
"64",6.59146454710798,0.00505201307600174,0.00146192363508116,"imp11.csv"
"65",6.79146454710798,0.00502268979146185,0.00178379150145993,"imp11.csv"
"66",6.99146454710798,0.00488388877524937,0.00211893785067359,"imp11.csv"
"67",7.19146454710798,0.0046313898156883,0.00243151697964871,"imp11.csv"
"68",7.39146454710798,0.00426524704534579,0.00269847156244499,"imp11.csv"
"69",7.59146454710798,0.00378996663621695,0.00290617689865261,"imp11.csv"
"70",7.79146454710798,0.00321445114130442,0.00304821877117005,"imp11.csv"
"71",7.99146454710798,0.00255171723809378,0.00312467713359681,"imp11.csv"
"72",8.19146454710798,0.00181840607750322,0.00314082700810185,"imp11.csv"
