"","y","x","model"
"1",0.00379335759029683,5.99146454710798,"imp1.csv"
"2",0.00387144911992118,6.09146454710798,"imp1.csv"
"3",0.00401222703273868,6.19146454710798,"imp1.csv"
"4",0.00409442626302097,6.29146454710798,"imp1.csv"
"5",0.00423318835649422,6.39146454710798,"imp1.csv"
"6",0.0045697979196536,6.49146454710798,"imp1.csv"
"7",0.00535935857069771,6.59146454710798,"imp1.csv"
"8",0.00532220385017067,6.69146454710798,"imp1.csv"
"9",0.00577939731689142,6.79146454710798,"imp1.csv"
"10",0.00641582699929974,6.89146454710798,"imp1.csv"
"11",0.00660326799385391,6.99146454710798,"imp1.csv"
"12",0.0077027173110222,7.09146454710798,"imp1.csv"
"13",0.00806981746265995,7.19146454710798,"imp1.csv"
"14",0.00960607057729223,7.29146454710798,"imp1.csv"
"15",0.010221278275438,7.39146454710798,"imp1.csv"
"16",0.0119523738301044,7.49146454710798,"imp1.csv"
"17",0.0126136163323544,7.59146454710798,"imp1.csv"
"18",0.0120512821728153,7.69146454710798,"imp1.csv"
"19",0.0122348204497558,7.79146454710798,"imp1.csv"
"20",0.0126761118283497,7.89146454710798,"imp1.csv"
"21",0.0128015587572038,7.99146454710798,"imp1.csv"
"22",0.013079979752772,8.09146454710798,"imp1.csv"
"23",0.0135317598395425,8.19146454710798,"imp1.csv"
"24",0.0133854147474664,8.29146454710798,"imp1.csv"
"25",0.0139198432700868,8.39146454710798,"imp1.csv"
"26",0.0141208775954941,8.49146454710798,"imp1.csv"
"27",0.0141181020442057,8.59146454710798,"imp1.csv"
"28",0.0140639038588914,8.69146454710798,"imp1.csv"
"29",0.0141461799266824,8.79146454710798,"imp1.csv"
"30",0.0141508831863656,8.89146454710798,"imp1.csv"
"31",0.0142665702975577,8.99146454710798,"imp1.csv"
"32",0.014142891518567,9.09146454710798,"imp1.csv"
"33",0.0141668984910825,9.19146454710798,"imp1.csv"
"34",0.0140781286279561,9.29146454710798,"imp1.csv"
"35",0.0141070289462783,9.39146454710798,"imp1.csv"
"36",0.0142423739287533,9.49146454710798,"imp1.csv"
"37",0.013880722190254,9.59146454710798,"imp1.csv"
"38",0.0134006856260507,9.69146454710798,"imp1.csv"
"39",0.0131487916272389,9.79146454710798,"imp1.csv"
"40",0.0123620124627479,9.89146454710798,"imp1.csv"
"41",0.0123696062769839,9.99146454710798,"imp1.csv"
"42",0.0120049767153432,10.091464547108,"imp1.csv"
"43",0.00998155417216784,10.191464547108,"imp1.csv"
"44",0.00924160256603096,10.291464547108,"imp1.csv"
"45",0.00909969331243338,10.391464547108,"imp1.csv"
"46",0.00899153747564713,10.491464547108,"imp1.csv"
"47",0.00881098380819876,10.591464547108,"imp1.csv"
"48",0.00853894166330198,10.691464547108,"imp1.csv"
"49",0.00812409530676821,10.791464547108,"imp1.csv"
"50",0.00805120163655614,10.891464547108,"imp1.csv"
"51",0.00780687126645721,10.991464547108,"imp1.csv"
"52",0.00743051906290094,11.091464547108,"imp1.csv"
"53",0.00733193802710837,11.191464547108,"imp1.csv"
"54",0.00719725761636749,11.291464547108,"imp1.csv"
"55",0.0071902430963068,11.391464547108,"imp1.csv"
"56",0.00714931274022197,11.491464547108,"imp1.csv"
"57",0.00713575362049151,11.591464547108,"imp1.csv"
"58",0.00711146284754348,11.691464547108,"imp1.csv"
"59",0.00710950061871059,11.791464547108,"imp1.csv"
"60",0.00710950061871059,11.891464547108,"imp1.csv"
"61",0.00291027470976728,5.99146454710798,"imp10.csv"
"62",0.00296752059749406,6.09146454710798,"imp10.csv"
"63",0.00312454245096446,6.19146454710798,"imp10.csv"
"64",0.00314209896156209,6.29146454710798,"imp10.csv"
"65",0.00332133721529526,6.39146454710798,"imp10.csv"
"66",0.003650153411069,6.49146454710798,"imp10.csv"
"67",0.00453922851271761,6.59146454710798,"imp10.csv"
"68",0.00482702584560354,6.69146454710798,"imp10.csv"
"69",0.00578525032417056,6.79146454710798,"imp10.csv"
"70",0.00608917536400459,6.89146454710798,"imp10.csv"
"71",0.00648526396135553,6.99146454710798,"imp10.csv"
"72",0.00759835932793377,7.09146454710798,"imp10.csv"
"73",0.00832450702489771,7.19146454710798,"imp10.csv"
"74",0.0094007673575626,7.29146454710798,"imp10.csv"
"75",0.0103198803363199,7.39146454710798,"imp10.csv"
"76",0.011764697394224,7.49146454710798,"imp10.csv"
"77",0.0127110887177447,7.59146454710798,"imp10.csv"
"78",0.0119469527967358,7.69146454710798,"imp10.csv"
"79",0.0121847447967132,7.79146454710798,"imp10.csv"
"80",0.0127814489283791,7.89146454710798,"imp10.csv"
"81",0.0127418719352407,7.99146454710798,"imp10.csv"
"82",0.0131495279435851,8.09146454710798,"imp10.csv"
"83",0.01365456138991,8.19146454710798,"imp10.csv"
"84",0.0136268033552257,8.29146454710798,"imp10.csv"
"85",0.0140510033448666,8.39146454710798,"imp10.csv"
"86",0.0142589000612285,8.49146454710798,"imp10.csv"
"87",0.0143716577423843,8.59146454710798,"imp10.csv"
"88",0.01426772162177,8.69146454710798,"imp10.csv"
"89",0.014267215268632,8.79146454710798,"imp10.csv"
"90",0.0143772910366022,8.89146454710798,"imp10.csv"
"91",0.0144402182607004,8.99146454710798,"imp10.csv"
"92",0.0143838955122478,9.09146454710798,"imp10.csv"
"93",0.0143530952927347,9.19146454710798,"imp10.csv"
"94",0.0143359333448809,9.29146454710798,"imp10.csv"
"95",0.0143648497953659,9.39146454710798,"imp10.csv"
"96",0.0145008427585729,9.49146454710798,"imp10.csv"
"97",0.0140750903890906,9.59146454710798,"imp10.csv"
